-3.49,-2.17,-8.46,-0.03,-0.01,0.02,256.0,360.0,284.0,267.0,216.0
-3.49,-2.14,-8.41,-0.02,-0.01,0.02,256.0,361.0,284.0,267.0,216.0
-3.48,-2.17,-8.43,-0.01,-0.0,0.02,258.0,360.0,285.0,265.0,216.0
-3.46,-2.22,-8.42,-0.01,0.01,0.02,257.0,360.0,284.0,265.0,215.0
-3.48,-2.19,-8.42,-0.01,-0.0,0.02,259.0,360.0,285.0,268.0,216.0
-3.47,-2.1,-8.44,-0.02,-0.01,0.02,258.0,360.0,284.0,267.0,215.0
-3.48,-2.17,-8.4,-0.02,-0.01,0.02,258.0,358.0,285.0,267.0,216.0
-3.5,-2.25,-8.42,-0.02,0.01,0.02,258.0,361.0,285.0,265.0,215.0
-3.45,-2.2,-8.46,-0.01,0.01,0.02,257.0,360.0,285.0,266.0,216.0
-3.48,-2.16,-8.45,-0.01,-0.0,0.02,260.0,360.0,285.0,267.0,215.0
-3.49,-2.19,-8.41,-0.02,-0.01,0.01,257.0,360.0,285.0,267.0,216.0
-3.48,-2.16,-8.38,-0.02,-0.01,0.01,256.0,360.0,287.0,267.0,214.0
-3.46,-2.22,-8.41,-0.02,0.01,0.02,258.0,361.0,283.0,267.0,216.0
-3.48,-2.23,-8.42,-0.01,0.0,0.02,259.0,360.0,286.0,268.0,215.0
-3.46,-2.19,-8.43,-0.02,-0.0,0.02,258.0,359.0,282.0,267.0,218.0
-3.46,-2.17,-8.45,-0.03,-0.01,0.03,259.0,360.0,284.0,267.0,215.0
-3.49,-2.2,-8.39,-0.02,-0.02,0.02,257.0,360.0,284.0,267.0,217.0
-3.51,-2.18,-8.39,-0.03,-0.02,0.02,258.0,360.0,286.0,266.0,216.0
-3.52,-2.23,-8.4,-0.02,-0.01,0.03,258.0,360.0,284.0,267.0,216.0
-3.5,-2.21,-8.46,-0.03,-0.01,0.03,258.0,360.0,284.0,266.0,217.0
-3.48,-2.13,-8.44,-0.04,-0.02,0.03,261.0,360.0,285.0,267.0,216.0
-3.48,-2.21,-8.42,-0.03,-0.02,0.03,259.0,360.0,285.0,267.0,215.0
-3.53,-2.18,-8.41,-0.02,-0.02,0.02,259.0,360.0,284.0,267.0,217.0
-3.53,-2.18,-8.38,-0.02,-0.0,0.02,258.0,361.0,284.0,267.0,217.0
-3.51,-2.18,-8.41,-0.02,-0.01,0.03,256.0,360.0,282.0,267.0,215.0
-3.49,-2.22,-8.41,-0.03,-0.02,0.03,259.0,360.0,284.0,267.0,217.0
-3.53,-2.18,-8.42,-0.04,-0.02,0.04,257.0,361.0,285.0,265.0,214.0
-3.5,-2.17,-8.4,-0.04,-0.02,0.03,257.0,360.0,285.0,267.0,216.0
-3.5,-2.17,-8.39,-0.03,-0.02,0.03,258.0,360.0,285.0,266.0,217.0
-3.54,-2.18,-8.43,-0.03,-0.01,0.03,259.0,362.0,285.0,265.0,216.0
-3.53,-2.17,-8.4,-0.03,-0.02,0.03,257.0,360.0,285.0,267.0,215.0
-3.53,-2.13,-8.41,-0.03,-0.01,0.02,257.0,360.0,284.0,266.0,215.0
-3.51,-2.16,-8.34,-0.03,-0.02,0.02,259.0,360.0,285.0,266.0,216.0
-3.54,-2.13,-8.41,-0.03,-0.0,0.02,258.0,360.0,284.0,266.0,214.0
-3.51,-2.18,-8.41,-0.02,-0.0,0.02,258.0,359.0,283.0,266.0,216.0
-3.52,-2.2,-8.39,-0.01,0.0,0.01,258.0,360.0,285.0,266.0,214.0
-3.56,-2.14,-8.41,-0.02,0.01,0.01,260.0,360.0,285.0,267.0,218.0
-3.58,-2.08,-8.38,-0.02,0.02,0.01,256.0,359.0,284.0,267.0,217.0
-3.52,-2.27,-8.39,-0.02,0.02,0.03,257.0,360.0,284.0,267.0,217.0
-3.46,-2.27,-8.43,-0.03,0.01,0.03,256.0,361.0,285.0,266.0,215.0
-3.48,-2.15,-8.43,-0.04,0.01,0.05,258.0,360.0,284.0,266.0,215.0
-3.51,-2.12,-8.39,-0.04,0.01,0.04,260.0,361.0,285.0,268.0,216.0
-3.57,-2.12,-8.41,-0.03,0.02,0.03,258.0,360.0,284.0,267.0,216.0
-3.55,-2.09,-8.42,-0.02,0.02,0.02,257.0,361.0,284.0,267.0,216.0
-3.49,-2.17,-8.43,-0.0,0.02,0.02,258.0,361.0,285.0,265.0,216.0
-3.51,-2.19,-8.4,-0.02,0.01,0.02,254.0,360.0,284.0,267.0,216.0
-3.49,-2.12,-8.43,-0.04,0.01,0.03,258.0,360.0,283.0,267.0,213.0
-3.47,-2.17,-8.43,-0.03,-0.01,0.03,256.0,360.0,284.0,266.0,214.0
-3.5,-2.16,-8.42,-0.02,-0.01,0.02,258.0,361.0,284.0,268.0,216.0
-3.47,-2.12,-8.37,-0.01,0.0,0.01,258.0,360.0,288.0,266.0,214.0
